"Group","Category","Members","Status","Attempts","Member reads","Clicks","Media views","Interactions","Error code","Error"
"Solan Network 34 - Emergency Response","Emergency Response","761","read","1","251","1","0","0","",""
"Jaipur Ward 44 - Emergency Response","Emergency Response","497","read","1","409","0","0","0","",""
"Solan Network 24 - Emergency Response","Emergency Response","227","failed","1","0","0","0","0","131051","Unsupported message type"
"Solan Ward 9 - Emergency Response","Emergency Response","567","read","1","222","2","0","1","",""
"Faridabad Chapter 51 - Emergency Response","Emergency Response","364","read","1","227","0","0","0","",""
"Jaipur Block 33 - Emergency Response","Emergency Response","529","read","1","384","0","0","0","",""
"Sonipat Cell 58 - Emergency Response","Emergency Response","905","read","1","402","3","0","0","",""
"Patiala Unit 22 - Emergency Response","Emergency Response","725","read","1","279","0","0","0","",""
"Rohtak Sector 53 - Emergency Response","Emergency Response","604","read","1","318","0","0","0","",""
"Gurugram Council 23 - Emergency Response","Emergency Response","354","read","1","209","0","0","0","",""
"Hisar Network 20 - Emergency Response","Emergency Response","891","read","1","464","0","0","0","",""
"Sonipat Cell 17 - Emergency Response","Emergency Response","821","read","1","439","0","0","0","",""
"Noida Ward 1 - Emergency Response","Emergency Response","312","read","1","126","0","0","0","",""
"Bhiwani Chapter 41 - Emergency Response","Emergency Response","931","delivered","1","0","0","0","0","",""
"Rohtak Council 2 - Emergency Response","Emergency Response","217","read","1","179","3","0","0","",""
"Gurugram Forum 46 - Emergency Response","Emergency Response","501","read","1","233","0","0","0","",""
"Agra Sector 54 - Emergency Response","Emergency Response","237","read","1","133","0","0","0","",""
"Meerut Unit 58 - Emergency Response","Emergency Response","442","delivered","1","0","0","0","0","",""
"Faridabad Ward 11 - Emergency Response","Emergency Response","335","delivered","1","0","0","0","0","",""
"Jaipur Unit 50 - Emergency Response","Emergency Response","847","delivered","1","0","0","0","0","",""
"Hisar Forum 41 - Emergency Response","Emergency Response","226","read","1","78","0","0","0","",""
"Haridwar Network 12 - Emergency Response","Emergency Response","980","read","1","808","1","0","0","",""
"Sirsa Council 27 - Emergency Response","Emergency Response","585","read","1","470","0","0","0","",""
"Hisar Unit 31 - Emergency Response","Emergency Response","383","delivered","1","0","0","0","0","",""
"Dehradun Council 40 - Emergency Response","Emergency Response","1006","read","1","479","0","0","0","",""
"Faridabad Ward 52 - Emergency Response","Emergency Response","391","read","1","273","0","0","0","",""
"Bhiwani Cell 22 - Emergency Response","Emergency Response","937","read","1","598","0","0","0","",""
"Amritsar Ward 8 - Emergency Response","Emergency Response","582","read","1","184","3","0","0","",""
"Hisar Block 14 - Emergency Response","Emergency Response","969","delivered","1","0","0","0","0","",""
"Yamunanagar Sector 48 - Emergency Response","Emergency Response","688","read","1","394","0","0","1","",""
"Ambala Sector 1 - Emergency Response","Emergency Response","454","read","1","116","2","0","0","",""
"Panchkula Block 2 - Emergency Response","Emergency Response","385","delivered","1","0","0","0","0","",""
"Kota Chapter 29 - Emergency Response","Emergency Response","986","read","1","583","0","0","0","",""
"Ludhiana Council 21 - Emergency Response","Emergency Response","613","read","1","347","0","0","0","",""
"Meerut Forum 11 - Emergency Response","Emergency Response","183","delivered","1","0","0","0","0","",""
"Jaipur Ward 38 - Emergency Response","Emergency Response","423","read","1","189","0","0","0","",""
"Bhiwani Network 33 - Emergency Response","Emergency Response","294","read","1","193","3","0","1","",""
"Panchkula Council 53 - Emergency Response","Emergency Response","876","read","1","555","0","0","0","",""
"Jalandhar Network 14 - Emergency Response","Emergency Response","112","read","1","42","0","0","0","",""
"Jalandhar Cell 44 - Emergency Response","Emergency Response","952","read","1","499","0","0","1","",""
"Faridabad Chapter 44 - Emergency Response","Emergency Response","509","delivered","1","0","0","0","0","",""
"Yamunanagar Ward 37 - Emergency Response","Emergency Response","321","read","1","203","2","0","0","",""
"Sonipat Cell 53 - Emergency Response","Emergency Response","1004","read","1","274","0","0","0","",""
"Patiala Chapter 60 - Emergency Response","Emergency Response","888","delivered","1","0","0","0","0","",""
"Noida Ward 53 - Emergency Response","Emergency Response","301","read","1","124","0","0","0","",""
"Karnal Sector 38 - Emergency Response","Emergency Response","627","delivered","1","0","0","0","0","",""
"Karnal Ward 20 - Emergency Response","Emergency Response","546","read","1","251","0","0","0","",""
"Jalandhar Chapter 23 - Emergency Response","Emergency Response","52","read","1","30","3","0","0","",""
"Bhiwani Council 53 - Emergency Response","Emergency Response","652","delivered","1","0","0","0","0","",""
"Panchkula Network 41 - Emergency Response","Emergency Response","709","delivered","1","0","0","0","0","",""
"Solan Ward 14 - Emergency Response","Emergency Response","458","read","1","181","0","0","0","",""
"Panchkula Forum 8 - Emergency Response","Emergency Response","603","delivered","1","0","0","0","0","",""
"Bhiwani Unit 59 - Emergency Response","Emergency Response","568","read","1","352","0","0","0","",""
"Shimla Circle 12 - Emergency Response","Emergency Response","368","read","1","293","3","0","0","",""
"Hisar Council 1 - Emergency Response","Emergency Response","654","delivered","1","0","0","0","0","",""
"Hisar Unit 24 - Emergency Response","Emergency Response","202","read","1","167","0","0","0","",""
"Hisar Block 54 - Emergency Response","Emergency Response","619","read","1","170","0","0","0","",""
"Shimla Council 34 - Emergency Response","Emergency Response","134","failed","3","0","0","0","0","131056","Pair rate limit hit"
"Haridwar Block 11 - Emergency Response","Emergency Response","480","delivered","1","0","0","0","0","",""
"Karnal Council 29 - Emergency Response","Emergency Response","783","read","1","340","0","0","0","",""
"Solan Council 54 - Emergency Response","Emergency Response","730","delivered","1","0","0","0","0","",""
"Kota Block 50 - Emergency Response","Emergency Response","716","read","1","577","1","0","0","",""
"Ambala Cell 19 - Emergency Response","Emergency Response","669","read","1","345","0","0","0","",""
"Rohtak Unit 15 - Emergency Response","Emergency Response","662","read","1","354","0","0","0","",""
"Panchkula Unit 44 - Emergency Response","Emergency Response","719","read","1","358","0","0","0","",""
"Haridwar Council 47 - Emergency Response","Emergency Response","403","delivered","1","0","0","0","0","",""
"Amritsar Block 7 - Emergency Response","Emergency Response","748","read","1","220","0","0","0","",""
"Jalandhar Chapter 45 - Emergency Response","Emergency Response","817","read","1","567","0","0","0","",""
"Ambala Cell 5 - Emergency Response","Emergency Response","127","read","1","83","1","0","0","",""
"Dehradun Council 24 - Emergency Response","Emergency Response","209","read","1","166","0","0","0","",""
"Gurugram Chapter 54 - Emergency Response","Emergency Response","950","read","1","422","0","0","1","",""
"Faridabad Circle 27 - Emergency Response","Emergency Response","710","read","1","208","0","0","0","",""
"Dehradun Council 19 - Emergency Response","Emergency Response","840","delivered","1","0","0","0","0","",""
"Sirsa Sector 42 - Emergency Response","Emergency Response","232","delivered","1","0","0","0","0","",""
